                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56403,                 2.0151,                0.90123,                0.84038,                0.76326,                0.92282,                0.81797,                0.53398,                 1.9947,                0.81961,             0.00054384,             0.00054384,             0.00054384
                      2,                 0.5787,                 1.1428,                0.87666,                0.97825,                0.99275,                0.99361,                0.87995,                0.50555,                   1.18,                0.83063,              0.0010632,              0.0010632,              0.0010632
                      3,                0.59165,                 1.0529,                0.89241,                0.97898,                0.99146,                0.99479,                0.87269,                0.52605,                  1.152,                0.84303,              0.0015459,              0.0015459,              0.0015459
                      4,                0.56595,                0.99588,                0.90441,                0.99025,                0.99585,                0.99493,                0.89336,                0.49514,                 1.1003,                 0.8491,               0.001502,               0.001502,               0.001502
                      5,                0.55435,                0.87431,                0.90961,                0.98093,                0.97476,                0.99342,                0.87736,                0.52725,                  1.029,                0.86015,               0.001502,               0.001502,               0.001502
                      6,                0.51235,                0.81711,                0.88211,                0.99786,                      1,                  0.995,                0.91299,                0.44901,                 0.7811,                0.83895,               0.001447,               0.001447,               0.001447
                      7,                0.49234,                0.76704,                0.87675,                0.99428,                      1,                  0.995,                0.91034,                0.43964,                0.77834,                0.83714,              0.0013919,              0.0013919,              0.0013919
                      8,                0.49464,                0.70744,                0.88694,                0.99411,                      1,                  0.995,                0.91051,                0.45449,                0.70722,                0.84136,              0.0013369,              0.0013369,              0.0013369
                      9,                0.48616,                0.65322,                0.86547,                0.98833,                0.99879,                0.99486,                0.89836,                0.42682,                0.68662,                0.82722,              0.0012819,              0.0012819,              0.0012819
                     10,                0.50069,                 0.6374,                0.87162,                0.99796,                      1,                  0.995,                0.92329,                0.41186,                0.60305,                0.83354,              0.0012269,              0.0012269,              0.0012269
                     11,                 0.4828,                0.61999,                0.86982,                0.99691,                      1,                  0.995,                 0.9199,                0.41672,                0.58995,                0.84161,              0.0011719,              0.0011719,              0.0011719
                     12,                0.45874,                0.58273,                0.86247,                0.99846,                      1,                  0.995,                0.91043,                0.41632,                0.55137,                0.84419,              0.0011169,              0.0011169,              0.0011169
                     13,                0.44248,                0.56428,                0.87125,                0.99739,                      1,                  0.995,                0.92407,                0.39303,                0.53269,                0.83376,              0.0010619,              0.0010619,              0.0010619
                     14,                0.44236,                0.53433,                0.86834,                0.99604,                      1,                  0.995,                0.93638,                0.37548,                 0.4909,                0.82988,              0.0010069,              0.0010069,              0.0010069
                     15,                0.41587,                0.48879,                0.84826,                0.99769,                      1,                  0.995,                0.94044,                0.36088,                0.46975,                0.82964,             0.00095186,             0.00095186,             0.00095186
                     16,                0.42026,                0.46734,                0.85824,                0.99822,                      1,                  0.995,                0.93398,                0.37588,                0.43897,                0.83839,             0.00089685,             0.00089685,             0.00089685
                     17,                0.38993,                0.44276,                0.84583,                0.99758,                      1,                  0.995,                0.94952,                0.35701,                 0.4202,                0.83142,             0.00084184,             0.00084184,             0.00084184
                     18,                0.39285,                0.42835,                 0.8464,                 0.9976,                      1,                  0.995,                0.94983,                0.35517,                0.41242,                0.82766,             0.00078682,             0.00078682,             0.00078682
                     19,                0.38985,                0.40328,                0.85329,                0.99764,                      1,                  0.995,                0.95345,                  0.357,                0.41765,                0.82794,             0.00073181,             0.00073181,             0.00073181
                     20,                 0.3891,                0.40486,                0.84896,                0.99799,                      1,                  0.995,                0.94939,                0.34687,                0.38864,                0.82641,              0.0006768,              0.0006768,              0.0006768
                     21,                0.34558,                0.42328,                0.81637,                0.99781,                      1,                  0.995,                 0.9467,                0.33732,                0.37644,                0.81854,             0.00062179,             0.00062179,             0.00062179
                     22,                0.32293,                0.39558,                0.78584,                0.99714,                      1,                  0.995,                0.95001,                0.34151,                0.38337,                0.82708,             0.00056678,             0.00056678,             0.00056678
                     23,                0.32477,                0.38837,                0.79803,                 0.9988,                      1,                  0.995,                0.95881,                0.33424,                0.36566,                0.82564,             0.00051177,             0.00051177,             0.00051177
                     24,                0.30765,                0.37952,                0.78773,                0.99613,                      1,                  0.995,                 0.9578,                 0.3326,                0.35464,                0.82065,             0.00045676,             0.00045676,             0.00045676
                     25,                0.29997,                0.35533,                0.78616,                0.99743,                      1,                  0.995,                0.95782,                0.32048,                0.33835,                0.81596,             0.00040175,             0.00040175,             0.00040175
                     26,                0.29426,                0.34801,                0.79471,                0.99781,                      1,                  0.995,                0.96719,                0.30302,                0.31734,                0.81721,             0.00034674,             0.00034674,             0.00034674
                     27,                0.28356,                0.33626,                0.79009,                0.99786,                      1,                  0.995,                0.96697,                0.29793,                0.31661,                0.80995,             0.00029172,             0.00029172,             0.00029172
                     28,                 0.2794,                0.32139,                0.78677,                0.99785,                      1,                  0.995,                0.97164,                0.29104,                0.29882,                0.80611,             0.00023671,             0.00023671,             0.00023671
                     29,                0.26544,                0.30922,                0.77782,                0.99835,                      1,                  0.995,                 0.9763,                0.27957,                0.29247,                0.80643,              0.0001817,              0.0001817,              0.0001817
                     30,                0.26155,                0.30404,                0.77413,                0.99803,                      1,                  0.995,                0.97518,                0.26923,                0.29242,                0.80679,             0.00012669,             0.00012669,             0.00012669
