                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.53374,                  1.444,                0.96039,                0.99418,                 0.8316,                0.93841,                0.84075,                 0.4843,                 1.1562,                0.97453,             0.00054384,             0.00054384,             0.00054384
                      2,                0.55984,                 0.6459,                0.96859,                0.79937,                0.92423,                0.83092,                0.70542,                0.61649,                 1.0753,                 1.0898,              0.0010632,              0.0010632,              0.0010632
                      3,                0.55049,                0.55085,                0.96765,                0.68676,                0.49206,                0.49578,                 0.4005,                  1.203,                 2.0057,                  1.612,              0.0015459,              0.0015459,              0.0015459
                      4,                0.58301,                0.52415,                 0.9764,                0.86301,                0.81751,                0.92682,                0.75166,                0.84545,                0.89849,                 1.2917,               0.001502,               0.001502,               0.001502
                      5,                0.55979,                0.48632,                0.97632,                 0.9607,                0.93518,                0.98239,                0.86236,                0.55957,                0.92871,                 1.0387,               0.001502,               0.001502,               0.001502
                      6,                0.49581,                0.39558,                0.93821,                0.98717,                      1,                 0.9945,                 0.9063,                0.45942,                0.36812,                0.95669,               0.001447,               0.001447,               0.001447
                      7,                0.50426,                0.39084,                0.94703,                0.99088,                0.97327,                0.99446,                0.92492,                0.39023,                0.35032,                0.92866,              0.0013919,              0.0013919,              0.0013919
                      8,                0.50366,                0.42502,                0.95317,                0.97107,                   0.94,                0.98449,                0.90485,                 0.4422,                0.42254,                0.96352,              0.0013369,              0.0013369,              0.0013369
                      9,                0.49649,                 0.3863,                0.93252,                0.96831,                0.98551,                0.99392,                0.90781,                0.45147,                0.32635,                0.96208,              0.0012819,              0.0012819,              0.0012819
                     10,                0.47793,                0.40997,                0.91612,                0.98521,                0.99927,                  0.995,                0.92636,                0.41788,                  0.298,                0.94307,              0.0012269,              0.0012269,              0.0012269
                     11,                0.46932,                0.37625,                0.92114,                0.99285,                0.98551,                0.99479,                0.93553,                0.39405,                 0.3055,                0.92439,              0.0011719,              0.0011719,              0.0011719
                     12,                0.45476,                0.34048,                0.91564,                0.99375,                0.99974,                  0.995,                0.92353,                0.40582,                0.29433,                0.93595,              0.0011169,              0.0011169,              0.0011169
                     13,                0.45034,                0.33653,                0.93203,                0.99634,                      1,                  0.995,                0.92806,                0.37662,                0.25479,                0.91005,              0.0010619,              0.0010619,              0.0010619
                     14,                0.43106,                0.31241,                 0.9254,                0.98862,                      1,                0.99486,                0.93974,                0.36666,                0.24988,                0.91288,              0.0010069,              0.0010069,              0.0010069
                     15,                0.41858,                0.31339,                0.89455,                0.99108,                0.99275,                0.99493,                0.94545,                0.37048,                0.25502,                 0.9154,             0.00095186,             0.00095186,             0.00095186
                     16,                 0.4271,                 0.3059,                0.91538,                0.98983,                0.99853,                  0.995,                0.95624,                0.33882,                0.23726,                0.89544,             0.00089685,             0.00089685,             0.00089685
                     17,                0.38636,                0.27722,                0.89133,                0.99478,                0.99939,                  0.995,                0.95809,                0.33038,                0.23359,                0.88842,             0.00084184,             0.00084184,             0.00084184
                     18,                0.40865,                0.27904,                0.89665,                0.99433,                      1,                  0.995,                0.95544,                0.32095,                 0.2139,                0.89577,             0.00078682,             0.00078682,             0.00078682
                     19,                0.38442,                0.26695,                0.90187,                0.99619,                      1,                  0.995,                0.96442,                0.32089,                0.21706,                0.89046,             0.00073181,             0.00073181,             0.00073181
                     20,                0.38048,                0.26641,                 0.8957,                0.99722,                0.99902,                  0.995,                0.97304,                0.29497,                0.19507,                0.87837,              0.0006768,              0.0006768,              0.0006768
                     21,                0.32817,                0.23279,                0.87722,                0.99639,                      1,                  0.995,                0.97236,                0.30667,                0.20613,                0.87282,             0.00062179,             0.00062179,             0.00062179
                     22,                0.31408,                0.22167,                0.85586,                0.99469,                0.99964,                  0.995,                0.96623,                0.28979,                0.20022,                0.87145,             0.00056678,             0.00056678,             0.00056678
                     23,                0.31317,                0.22659,                0.86871,                0.99674,                      1,                  0.995,                0.96961,                0.30641,                0.19237,                0.87514,             0.00051177,             0.00051177,             0.00051177
                     24,                0.30539,                0.21602,                0.84308,                0.99413,                0.99922,                  0.995,                0.97461,                0.29626,                0.18783,                0.87606,             0.00045676,             0.00045676,             0.00045676
                     25,                0.29324,                0.20724,                0.84846,                0.99474,                0.99912,                  0.995,                0.97037,                0.28705,                0.18692,                 0.8675,             0.00040175,             0.00040175,             0.00040175
                     26,                0.29927,                0.22229,                0.84765,                0.99718,                      1,                  0.995,                0.97189,                0.29513,                0.20026,                0.87687,             0.00034674,             0.00034674,             0.00034674
                     27,                0.29425,                0.20778,                0.85221,                0.99792,                      1,                  0.995,                0.97317,                0.27482,                0.18028,                0.86834,             0.00029172,             0.00029172,             0.00029172
                     28,                0.27036,                0.19286,                0.82803,                 0.9977,                      1,                  0.995,                 0.9699,                0.28036,                0.17483,                0.86776,             0.00023671,             0.00023671,             0.00023671
                     29,                0.26875,                0.18342,                 0.8321,                0.99786,                      1,                  0.995,                0.97209,                0.27047,                0.16782,                0.86359,              0.0001817,              0.0001817,              0.0001817
                     30,                0.26078,                 0.1862,                0.82918,                0.99772,                      1,                  0.995,                0.98132,                0.26351,                0.16716,                0.86087,             0.00012669,             0.00012669,             0.00012669
